INSTNM,CITY,STABBR
Tyler Junior College,Tyler,TX
Universal Technical Institute of Texas Inc.,Houston,TX
University of Cosmetology Arts & Sciences-McAllen,McAllen,TX
Vernon College,Vernon,TX
Victoria Beauty College Inc,Victoria,TX
Victoria College,Victoria,TX
Vogue College of Cosmetology-McAllen,McAllen,TX
Wayland Baptist University,Plainview,TX
Weatherford College,Weatherford,TX
West Texas A & M University,Canyon,TX
Western Texas College,Snyder,TX
Wharton County Junior College,Wharton,TX
Wiley College,Marshall,TX
AmeriTech College-Provo,Provo,UT
Bridgerland Applied Technology College,Logan,UT
Brigham Young University-Provo,Provo,UT
Brigham Young University-Hawaii,Laie,HI
Broadview University-West Jordan,West Jordan,UT
Cameo College of Essential Beauty,Murray,UT
Sherman Kendall Academy-Salt Lake City,Salt Lake City,UT
Sherman Kendall Academy-Midvale,Midvale,UT
Davis Applied Technology College,Kaysville,UT
Dixie State University,Saint George,UT
Evans Hairstyling College-Cedar City,Cedar City,UT
Evans Hairstyling College-St George,Saint George,UT
Paul Mitchell the School-Salt Lake City,Holladay,UT
Eagle Gate College-Murray,Murray,UT
ITT Technical Institute-Murray,Murray,UT
Latter-day Saints Business College,Salt Lake City,UT
Everest College-Salt Lake City,West Valley City,UT
Ogden-Weber Applied Technology College,Ogden,UT
Snow College,Ephraim,UT
Southern Utah University,Cedar City,UT
Stevens-Henager College,West Haven,UT
Stevens-Henager College,Orem,UT
Uintah Basin Applied Technology College,Roosevelt,UT
Utah State University,Logan,UT
Utah Valley University,Orem,UT
Salt Lake Community College,Salt Lake City,UT
University of Utah,Salt Lake City,UT
Weber State University,Ogden,UT
Westminster College,Salt Lake City,UT
Bennington College,Bennington,VT
Burlington College,Burlington,VT
Castleton University,Castleton,VT
Champlain College,Burlington,VT
Community College of Vermont,Winooski,VT
Goddard College,Plainfield,VT
Green Mountain College,Poultney,VT
Johnson State College,Johnson,VT
Lyndon State College,Lyndonville,VT
Marlboro College,Marlboro,VT
Middlebury College,Middlebury,VT
New England Culinary Institute,Montpelier,VT
Norwich University,Northfield,VT
O'Briens Aveda Institute,South Burlington,VT
Saint Michael's College,Colchester,VT
SIT Graduate Institute,Brattleboro,VT
College of St Joseph,Rutland,VT
Southern Vermont College,Bennington,VT
Sterling College,Craftsbury Common,VT
Vermont Law School,South Royalton,VT
Vermont Technical College,Randolph Center,VT
University of Vermont,Burlington,VT
Bar Palma Beauty Careers Academy,Roanoke,VA
Advanced Technology Institute,Virginia Beach,VA
Averett University,Danville,VA
Blue Ridge Community College,Weyers Cave,VA
Bluefield College,Bluefield,VA
Bridgewater College,Bridgewater,VA
College of William and Mary,Williamsburg,VA
Regent University,Virginia Beach,VA
Central School of Practical Nursing,Norfolk,VA
Central Virginia Community College,Lynchburg,VA
Christopher Newport University,Newport News,VA
Suffolk Beauty Academy,Suffolk,VA
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA
Bryant & Stratton College-Richmond,North Chesterfield,VA
Jefferson College of Health Sciences,Roanoke,VA
Dabney S Lancaster Community College,Clifton Forge,VA
Danville Community College,Danville,VA
Eastern Virginia Medical School,Norfolk,VA
Centura College-Virginia Beach,Virginia Beach,VA
Emory & Henry College,Emory,VA
Eastern Mennonite University,Harrisonburg,VA
Eastern Shore Community College,Melfa,VA
Ferrum College,Ferrum,VA
George Mason University,Fairfax,VA
Germanna Community College,Locust Grove,VA
Hampden-Sydney College,Hampden-Sydney,VA
Hampton University,Hampton,VA
Hollins University,Roanoke,VA
J Sargeant Reynolds Community College,Richmond,VA
James Madison University,Harrisonburg,VA
John Tyler Community College,Chester,VA
Everest College-Newport News,Newport News,VA
Liberty University,Lynchburg,VA
Longwood University,Farmville,VA
Lord Fairfax Community College,Middletown,VA
Lynchburg College,Lynchburg,VA
Centra College of Nursing,Lynchburg,VA
Mary Baldwin College,Staunton,VA
University of Mary Washington,Fredericksburg,VA
Marymount University,Arlington,VA
Danville Regional Medical Center School of Health Professions,Danville,VA
Mountain Empire Community College,Big Stone Gap,VA
American National University,Salem,VA
New River Community College,Dublin,VA
Sentara College of Health Sciences,Chesapeake,VA
Tidewater Tech-Trades,Norfolk,VA
Norfolk State University,Norfolk,VA
Northern Virginia Community College,Annandale,VA
Old Dominion University,Norfolk,VA
Patrick Henry Community College,Martinsville,VA
Paul D Camp Community College,Franklin,VA
Southside Regional Medical Center Professional Schools,Colonial Heights,VA
Miller-Motte Technical College-Lynchburg,Lynchburg,VA
Piedmont Virginia Community College,Charlottesville,VA
Radford University,Radford,VA
Sylvain Melloul International Hair Academy,Lynchburg,VA
Randolph-Macon College,Ashland,VA
Randolph College,Lynchburg,VA
Rappahannock Community College,Glenns,VA
Fortis College-Norfolk,Norfolk,VA
Richard Bland College of the College of William and Mary,Petersburg,VA
Bon Secours Memorial College of Nursing,Richmond,VA
University of Richmond,University of Richmond,VA
Riverside College of Health Careers,Newport News,VA
Roanoke College,Salem,VA
Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,VA
Shenandoah University,Winchester,VA
Southern Virginia University,Buena Vista,VA
Southside Virginia Community College,Alberta,VA
Southwest Virginia Community College,Richlands,VA
Springfield Beauty Academy,Annandale,VA
Staunton School of Cosmetology,Staunton,VA
Strayer University-Virginia,Arlington,VA
Sweet Briar College,Sweet Briar,VA
Thomas Nelson Community College,Hampton,VA
Tidewater Community College,Norfolk,VA
Union Presbyterian Seminary,Richmond,VA
The University of Virginia's College at Wise,Wise,VA
Virginia Highlands Community College,Abingdon,VA
Virginia Polytechnic Institute and State University,Blacksburg,VA
Virginia Western Community College,Roanoke,VA
Virginia Commonwealth University,Richmond,VA
University of Virginia-Main Campus,Charlottesville,VA
Virginia Military Institute,Lexington,VA
Virginia School of Hair Design,Hampton,VA
Virginia University of Lynchburg,Lynchburg,VA
Virginia State University,Petersburg,VA
Virginia Union University,Richmond,VA
Virginia Wesleyan College,Norfolk,VA
Wards Corner Beauty Academy-Norfolk,Norfolk,VA
Washington and Lee University,Lexington,VA
Sanford-Brown College-Tysons Corner,McLean,VA
Washington County Adult Skill Center,Abingdon,VA
Wilson Workforce and Rehabilitation Center,Fishersville,VA
Wytheville Community College,Wytheville,VA
Beauty Academy,Wenatchee,WA
The Art Institute of Seattle,Seattle,WA
Evergreen Beauty and Barber College-Bellevue,Bellevue,WA
Bellevue College,Bellevue,WA
Bellingham Technical College,Bellingham,WA
Big Bend Community College,Moses Lake,WA
Everest College-Bremerton,Bremerton,WA
Everest College-Renton,Renton,WA
Central Washington University,Ellensburg,WA
Centralia College,Centralia,WA
City University of Seattle,Seattle,WA
Paul Mitchell the School-Richland,Richland,WA
Clark College,Vancouver,WA
Clover Park Technical College,Lakewood,WA
Columbia Basin College,Pasco,WA
Cornish College of the Arts,Seattle,WA
Divers Institute of Technology,Seattle,WA
Eastern Washington University,Cheney,WA
Edmonds Community College,Lynnwood,WA
Everett Community College,Everett,WA
Paroba College of Cosmetology,Everett,WA
The Evergreen State College,Olympia,WA
Pierce College-Fort Steilacoom,Lakewood,WA
Glen Dow Academy of Hair Design,Spokane,WA
Gonzaga University,Spokane,WA
Grays Harbor College,Aberdeen,WA
Green River College,Auburn,WA
Heritage University,Toppenish,WA
Highline College,Des Moines,WA
Interface College-Spokane,Spokane,WA
International Air and Hospitality Academy,Vancouver,WA
ITT Technical Institute-Seattle,Seattle,WA
ITT Technical Institute-Spokane Valley,Spokane Valley,WA
Bastyr University,Kenmore,WA
Gene Juarez Academy of Beauty-Mountlake Terrace,Mountlake Terrace,WA
Bates Technical College,Tacoma,WA
Lake Washington Institute of Technology,Kirkland,WA
Lower Columbia College,Longview,WA
Trinity Lutheran College,Everett,WA
BJ's Beauty & Barber College,Auburn,WA
BJ's Beauty & Barber College,Tacoma,WA
Northwest Hair Academy,Mount Vernon,WA
North Seattle College,Seattle,WA
Northwest University,Kirkland,WA
Olympic College,Bremerton,WA
Perry Technical Institute,Yakima,WA
Pacific Lutheran University,Tacoma,WA
Peninsula College,Port Angeles,WA
University of Puget Sound,Tacoma,WA
Renton Technical College,Renton,WA
Saint Martin's University,Lacey,WA
South Seattle College,Seattle,WA
Seattle Central College,Seattle,WA
Everest College-Seattle,Seattle,WA
Seattle Pacific University,Seattle,WA
Seattle University,Seattle,WA
Shoreline Community College,Shoreline,WA
Skagit Valley College,Mount Vernon,WA
South Puget Sound Community College,Olympia,WA
Spokane Community College,Spokane,WA
Spokane Falls Community College,Spokane,WA
Stylemaster College of Hair Design,Longview,WA
Tacoma Community College,Tacoma,WA
Walla Walla Community College,Walla Walla,WA
Walla Walla University,College Place,WA
Washington State University,Pullman,WA
University of Washington-Seattle Campus,Seattle,WA
Wenatchee Valley College,Wenatchee,WA
Everest College-Vancouver,Vancouver,WA
Western Washington University,Bellingham,WA
Whatcom Community College,Bellingham,WA
Whitman College,Walla Walla,WA
Whitworth University,Spokane,WA
Yakima Valley Community College,Yakima,WA
Alderson Broaddus University,Philippi,WV
Appalachian Beauty School,South Williamson,KY
Appalachian Bible College,Mount Hope,WV
B M Spurr School of Practical Nursing,Glen Dale,WV
Ben Franklin Career Center,Dunbar,WV
Bethany College,Bethany,WV
Bluefield State College,Bluefield,WV
Cabell County Career Technology Center,Huntington,WV
Charleston School of Beauty Culture,Charleston,WV
University of Charleston,Charleston,WV
Clarksburg Beauty Academy and School of Massage Therapy,Clarksburg,WV
Concord University,Athens,WV
Davis & Elkins College,Elkins,WV
Fairmont State University,Fairmont,WV
Glenville State College,Glenville,WV
Huntington Junior College,Huntington,WV
James Rumsey Technical Institute,Martinsburg,WV
Ralph R Willis Career and Technical Center,Stollings,WV
Marshall University,Huntington,WV
Mercer County Technical Education Center,Princeton,WV
Meredith Manor International Equestrian Center,Waverly,WV
Monongalia County Technical Education Center,Morgantown,WV
Morgantown Beauty College Inc,Morgantown,WV
Mountain State College,Parkersburg,WV
Everest Institute-Cross Lanes,Cross Lanes,WV
Opportunities Industrialization Center,Fairmont,WV
Ohio Valley University,Vienna,WV
West Virginia University at Parkersburg,Parkersburg,WV
Potomac State College of West Virginia University,Keyser,WV
Academy of Careers and Technology,Beckley,WV
Salem International University,Salem,WV
Shepherd University,Shepherdstown,WV
Southern West Virginia Community and Technical College,Mount Gay,WV
Fred W Eberle Technical Center,Buckhannon,WV
West Virginia School of Osteopathic Medicine,Lewisburg,WV
West Virginia State University,Institute,WV
West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV
West Liberty University,West Liberty,WV
West Virginia University Institute of Technology,Montgomery,WV
West Virginia Wesleyan College,Buckhannon,WV
West Virginia Business College-Wheeling,Wheeling,WV
West Virginia Junior College-Charleston,Charleston,WV
West Virginia Junior College-Morgantown,Morgantown,WV
International Beauty School 4,Martinsburg,WV
West Virginia Northern Community College,Wheeling,WV
West Virginia University,Morgantown,WV
Wheeling Jesuit University,Wheeling,WV
Wood County School of Practical Nursing,Parkersburg,WV
Advanced Institute of Hair Design-Glendale,Glendale,WI
VICI Aveda Institute,Greenfield,WI
Alverno College,Milwaukee,WI
Madison Area Technical College,Madison,WI
Bellin College,Green Bay,WI
Beloit College,Beloit,WI
Blackhawk Technical College,Janesville,WI
Cardinal Stritch University,Milwaukee,WI
Carroll University,Waukesha,WI
Carthage College,Kenosha,WI
Columbia College of Nursing,Glendale,WI
Concordia University-Wisconsin,Mequon,WI
Edgewood College,Madison,WI
Fox Valley Technical College,Appleton,WI
Gateway Technical College,Kenosha,WI
Gill-Tech Academy of Hair Design,Appleton,WI
The Salon Professional Academy-Eau Claire,Eau Claire,WI
ITT Technical Institute-Greenfield,Greenfield,WI
Lakeland College,Plymouth,WI
Lakeshore Technical College,Cleveland,WI
Lawrence University,Appleton,WI
Maranatha Baptist University,Watertown,WI
Marian University,Fond Du Lac,WI
Marquette University,Milwaukee,WI
Medical College of Wisconsin,Milwaukee,WI
Mid-State Technical College,Wisconsin Rapids,WI
Milwaukee Area Technical College,Milwaukee,WI
Milwaukee Institute of Art & Design,Milwaukee,WI
Milwaukee School of Engineering,Milwaukee,WI
Moraine Park Technical College,Fond du Lac,WI
Mount Mary University,Milwaukee,WI
Nashotah House,Nashotah,WI
Nicolet Area Technical College,Rhinelander,WI
Northcentral Technical College,Wausau,WI
Northeast Wisconsin Technical College,Green Bay,WI
Northland International University,Dunbar,WI
Northland College,Ashland,WI
Ripon College,Ripon,WI
Sacred Heart School of Theology,Franklin,WI
Saint Norbert College,De Pere,WI
Silver Lake College of the Holy Family,Manitowoc,WI
State College of Beauty Culture Inc,Wausau,WI
Southwest Wisconsin Technical College,Fennimore,WI
Bryant & Stratton College-Milwaukee,Milwaukee,WI
University of Wisconsin Colleges,Madison,WI
Viterbo University,La Crosse,WI
Chippewa Valley Technical College,Eau Claire,WI
Waukesha County Technical College,Pewaukee,WI
Western Technical College,La Crosse,WI
University of Wisconsin-Whitewater,Whitewater,WI
Wisconsin Indianhead Technical College,Shell Lake,WI
Wisconsin School of Professional Psychology,Milwaukee,WI
Paul Mitchell the School-Green Bay,De Pere,WI
University of Wisconsin-Eau Claire,Eau Claire,WI
University of Wisconsin-Green Bay,Green Bay,WI
University of Wisconsin-La Crosse,La Crosse,WI
Wisconsin Lutheran College,Milwaukee,WI
University of Wisconsin-Oshkosh,Oshkosh,WI
University of Wisconsin-Parkside,Kenosha,WI
Herzing University-Madison,Madison,WI
University of Wisconsin-Stout,Menomonie,WI
University of Wisconsin-Superior,Superior,WI
University of Wisconsin-Madison,Madison,WI
University of Wisconsin-Milwaukee,Milwaukee,WI
University of Wisconsin-Platteville,Platteville,WI
University of Wisconsin-River Falls,River Falls,WI
University of Wisconsin-Stevens Point,Stevens Point,WI
Casper College,Casper,WY
Central Wyoming College,Riverton,WY
Eastern Wyoming College,Torrington,WY
Laramie County Community College,Cheyenne,WY
Northwest College,Powell,WY
Sheridan College,Sheridan,WY
Western Wyoming Community College,Rock Springs,WY
Cheeks International Academy of Beauty Culture-Cheyenne,Cheyenne,WY
Wyotech-Laramie,Laramie,WY
University of Wyoming,Laramie,WY
American Samoa Community College,Pago Pago,AS
Guam Community College,Mangilao,GU
University of Guam,Mangilao,GU
Northern Marianas College,Saipan,MP
Institute of Beauty Careers,Arecibo,PR
Educational Technical College-Recinto de Bayamon,Bayamon,PR
American University of Puerto Rico,Bayamon,PR
American University of Puerto Rico,Manati,PR
American Educational College,Bayamon,PR
Antilles School of Technical Careers,San Juan,PR
Universidad Adventista de las Antillas,Mayaguez,PR
Atlantic University College,Guaynabo,PR
Universidad Central de Bayamon,Bayamón,PR
Columbia Central University-Caguas,Caguas,PR
Carlos Albizu University-San Juan,San Juan,PR
Caribbean University-Bayamon,Bayamon,PR
Caribbean University-Carolina,Carolina,PR
Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR
Centro de Estudios Multidisciplinarios-San Juan,San Juan,PR
Universidad Teologica del Caribe,Trujillo Alto,PR
Colegio Universitario de San Juan,San Juan,PR
Universidad Metropolitana,San Juan,PR
Puerto Rico Conservatory of Music,San Juan,PR
Center for Advanced Studies On Puerto Rico and the Caribbean,San Juan,PR
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR
Emma's Beauty Academy-Mayaguez,Mayaguez,PR
Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR
Instituto Tecnologico de Puerto Rico-Recinto de Manati,Manati,PR
Huertas College,Caguas,PR
Humacao Community College,Humacao,PR
ICPR Junior College-Arecibo,Arecibo,PR
ICPR Junior College-Mayaguez,Mayaguez,PR
Instituto de Educacion Tecnica Ocupacional La Reine-Manati,Manati,PR
Hispanic American College,Gurabo,PR
Instituto de Banca y Comercio Inc,Guaynabo,PR
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Guayama,PR
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Ponce,PR
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,San Juan,PR
Inter American University of Puerto Rico-San German,San German,PR
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR
Inter American University of Puerto Rico-Arecibo,Arecibo,PR
Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR
Inter American University of Puerto Rico-Metro,San Juan,PR
Inter American University of Puerto Rico-Ponce,Mercedita,PR
Inter American University of Puerto Rico-Fajardo,Fajardo,PR
Inter American University of Puerto Rico-Guayama,Guayama,PR
Inter American University of Puerto Rico-Bayamon,Bayamon,PR
Inter American University of Puerto Rico-School of Law,San Juan,PR
International Technical College,San Juan,PR
Liceo de Arte y Tecnologia,San Juan,PR
MBTI Business Training Institute,Santurce,PR
Modern Hairstyling Institute-Bayamon,Bayamon,PR
Modern Hairstyling Institute-Arecibo,Arecibo,PR
National University College-Bayamon,Bayamon,PR
National University College-Arecibo,Arecibo,PR
Ponce Paramedical College Inc,Ponce,PR
Ponce School of Medicine and Health Sciences,Ponce,PR
University of Puerto Rico-Aguadilla,Ramey,PR
University of Puerto Rico-Arecibo,Arecibo,PR
University of Puerto Rico-Bayamon,Bayamon,PR
University of Puerto Rico-Carolina,Carolina,PR
University of Puerto Rico-Cayey,Cayey,PR
University of Puerto Rico-Humacao,Humacao,PR
University of Puerto Rico-Utuado,Utuado,PR
University of Puerto Rico-Mayaguez,Mayaguez,PR
University of Puerto Rico-Medical Sciences,San Juan,PR
University of Puerto Rico-Ponce,Ponce,PR
University of Puerto Rico-Rio Piedras,San Juan,PR
Universidad Del Este,Carolina,PR
Ryder Memorial School for Practical Nursing,Humacao,PR
Universidad del Sagrado Corazon,Santurce,PR
Seminario Evangelico de Puerto Rico,San Juan,PR
Universidad Central Del Caribe,Bayamon,PR
Universidad Politecnica de Puerto Rico,Hato Rey,PR
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR
Universidad Del Turabo,Gurabo,PR
College of Micronesia-FSM,Pohnpei,FM
Palau Community College,Koror,PW
University of the Virgin Islands,Charlotte Amalie,VI
Stanford University,Stanford,CA
Purdue University-Main Campus,West Lafayette,IN
Blue Hills Regional Technical School,Canton,MA
Parker University,Dallas,TX
EDP Univeristy of Puerto Rico Inc-San Juan,San Juan,PR
ICPR Junior College-General Institutional,Hato Rey,PR
ITT Technical Institute-Sylmar,Sylmar,CA
ITT Technical Institute-Westminster,Westminster,CO
Widener University-Delaware Law School,Wilmington,DE
City College-Fort Lauderdale,Fort Lauderdale,FL
Meridian College,Sarasota,FL
Georgia Perimeter College,Decatur,GA
Georgia Piedmont Technical College,Clarkston,GA
The Beauty Institute Schwarzkopf Professional - Coeur D'Alene,Coeur D'Alene,ID
Cortiva Institute-Chicago,Chicago,IL
ETI School of Skilled Trades,Willowbrook,IL
Trend Setters' Academy of Beauty Culture-Elizabethtown,Elizabethtown,KY
Traxlers School of Hair,Jackson,MS
Infinity Career College,Carthage,MS
Vatterott College-Berkeley,Berkeley,MO
Metro Business College-Rolla,Rolla,MO
Metro Business College-Jefferson City,Jefferson City,MO
Warren County Community College,Washington,NJ
St. John's College,Santa Fe,NM
Yeshiva and Kollel Harbotzas Torah,Brooklyn,NY
Bais Medrash Elyon,Brooklym,NY
Antioch University-Los Angeles,Culver City,CA
Antioch University-Santa Barbara,Santa Barbara,CA
Antioch University-New England,Keene,NH
Antioch University-Seattle,Seattle,WA
Antioch University-Midwest,Yellow Springs,OH
Mid-America Christian University,Oklahoma City,OK
Platt College-Tulsa,Tulsa,OK
Ponca City Beauty College,Ponca City,OK
Francis Tuttle Technology Center,Oklahoma City,OK
Career Point College,Tulsa,OK
Central Technology Center,Drumright,OK
Carrington College-Portland,Portland,OR
Career Technology Center of Lackawanna County,Scranton,PA
Brightwood College-Nashville,Nashville,TN
Brightwood College-El Paso,El Paso,TX
Houston Graduate School of Theology,Houston,TX
Palo Alto College,San Antonio,TX
Sebring Career Schools-Huntsville,Huntsville,TX
University of Cosmetology Arts & Sciences-San Antonio Perrin,San Antonio,TX
Central Texas Beauty College-Round Rock,Round Rock,TX
Empire Beauty School-Manitowoc,Manitowoc,WI
Unification Theological Seminary,Barrytown,NY
Athens Technical College,Athens,GA
Maricopa Skill Center,Phoenix,AZ
Carrington College-San Leandro,San Leandro,CA
Headmasters School of Hair Design,Lewiston,ID
Razzle Dazzle College of Hair Design Inc,Nampa,ID
Beckfield College-Florence,Florence,KY
Dorsey Business Schools-Wayne,Wayne,MI
Ecumenical Theological Seminary,Detroit,MI
Ross Medical Education Center-Saginaw,Saginaw,MI
Sussex County Community College,Newton,NJ
Landmark College,Putney,VT
National American University-Independence,Independence,MO
Yeshiva Gedolah of Greater Detroit,Oak Park,MI
Austin Graduate School of Theology,Austin,TX
Collin County Community College District,McKinney,TX
Owensboro Community and Technical College,Owensboro,KY
Heads West Kentucky Beauty College,Madisonville,KY
Jenny Lea Academy of Cosmetology,Whitesburg,KY
Empire Beauty School-Hurstborne,Louisville,KY
Southeast School of Cosmetology,Manchester,KY
Cloyd's Beauty School 3 Inc,Monroe,LA
Moore Norman Technology Center,Norman,OK
Fayette County Career & Technical Institute Practical Nursing Program,Uniontown,PA
Franklin County Career and Technology Center,Chambersburg,PA
Paul Mitchell the School-Knoxville,Knoxville,TN
Ogle School Hair Skin Nails-Hurst,Hurst,TX
Fashion Institute of Design & Merchandising-San Diego,San Diego,CA
National American University-Albuquerque,Albuquerque,NM
Tennessee College of Applied Technology Nashville,Nashville,TN
ECPI University,Virginia Beach,VA
Branford Hall Career Institute-Jersey City,Jersey City,NJ
Paul Mitchell the School-Houston,Houston,TX
TDDS Technical Institute,Lake Milton,OH
Fortis Institute-Forty Fort,Forty Fort,PA
Laurel Business Institute,Uniontown,PA
Antonelli Medical and Professional Institute,Pottstown,PA
Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA
Fortis Institute-Mulberry,Mulberry,FL
Carrington College-Westside,Phoenix,AZ
Dorsey Business Schools-Roseville,Roseville,MI
Moler-Pickens Beauty Academy,Fairfield,OH
Red River Technology Center,Duncan,OK
Brightwood Career Institute-Harrisburg,Harrisburg,PA
ITT Technical Institute-Newburgh,Newburgh,IN
Southern Union State Community College,Wadley,AL
South University-Columbia,Columbia,SC
Everest University-Brandon,Tampa,FL
Clinton Technical School,Clinton,MO
Consolidated School of Business-Lancaster,Lancaster,PA
Greene County Career and Technology Center,Waynesburg,PA
Lac Courte Oreilles Ojibwa Community College,Hayward,WI
Diesel Driving Academy-Shreveport,Shreveport,LA
Pima Medical Institute-Mesa,Mesa,AZ
Platt College-Los Angeles,Alhambra,CA
Platt College-Aurora,Aurora,CO
Kaplan University-Davenport Campus,Davenport,IA
Kaplan University-Cedar Falls Campus,Cedar Falls,IA
Paul Mitchell the School-Boise,Boise,ID
Christian Life College,Mount Prospect,IL
Knowledge Systems Institute,Skokie,IL
Educators of Beauty College of Cosmetology-Rockford,Rockford,IL
ITT Technical Institute-Arlington Heights,Arlington Heights,IL
Northwestern College-Southwestern Campus,Bridgeview,IL
Tulsa Technology Center-Lemley Campus,Tulsa,OK
Tulsa Technology Center-Riverside Campus,Tulsa,OK
Tulsa Technology Center-Broken Arrow Campus,Broken Arrow,OK
Douglas J Aveda Institute,East Lansing,MI
ITT Technical Institute-Troy,Troy,MI
Ross Medical Education Center-Brighton,Brighton,MI
Ross Medical Education Center-Ann Arbor,Ann Arbor,MI
Taylortown School of Beauty Inc,Taylor,MI
Pike-Lincoln Technical Center,Eolia,MO
Pennsylvania Institute of Health and Technology,Mount Braddock,PA
Skyline College-Roanoke,Roanoke,VA
Bethel Seminary-San Diego,San Diego,CA
St Charles Community College,Cottleville,MO
Brandman University,Irvine,CA
New College of Florida,Sarasota,FL
Arizona Academy of Beauty-North,Tucson,AZ
Empire Beauty School-Prescott,Prescott,AZ
Le Cordon Bleu College of Culinary Arts-Scottsdale,Scottsdale,AZ
Conservatory of Recording Arts and Sciences,Tempe,AZ
Adrian's College of Beauty Turlock,Turlock,CA
California Career School,Anaheim,CA
Rolf Institute of Structural Integration,Boulder,CO
Heritage College-Denver,Denver,CO
Empire Beauty School-Highland,Louisville,KY
Sunstate Academy,Fort Myers,FL
Elizabeth Grady School of Esthetics and Massage Therapy,Medford,MA
Ross Medical Education Center-Port Huron,Port Huron,MI
Capri Institute of Hair Design-Clifton,Clifton,NJ
Raphael's School of Beauty Culture Inc-Alliance,Alliance,OH
Metro Technology Centers,Oklahoma City,OK
Heald College-Roseville,Roseville,CA
Daymar College-Bowling Green,Bowling Green,KY
Everest College-Everett,Everett,WA
Luna Community College,Las Vegas,NM
Grabber School of Hair Design,St. Louis,MO
Yeshivah Gedolah Rabbinical College,Miami Beach,FL
University of the District of Columbia-David A Clarke School of Law,Washington,DC
Raphael's School of Beauty Culture Inc-Brunswick,Brunswick,OH
Caribbean University-Ponce,Ponce,PR
Caribbean University-Vega Baja,Vega Baja,PR
University of Advancing Technology,Tempe,AZ
Paradise Valley Community College,Phoenix,AZ
Chandler-Gilbert Community College,Chandler,AZ
HSHS St. John's Hospital School of Clinical Laboratory Science,Springfield,IL
Madison Media Institute,Madison,WI
Sanford-Brown Institute-White Plains,White Plains,NY
Sanford-Brown Institute-Garden City,Garden City,NY
Great Plains Technology Center,Lawton,OK
Roane-Jackson Technical Center,Leroy,WV
Total Cosmetology Training Center,Spokane,WA
Pioneer Technology Center,Ponca City,OK
Portage Lakes Career Center,Uniontown,OH
Eastern College of Health Vocations-New Orleans,New Orleans,LA
Bell Mar Beauty College,Cicero,IL
Cannella School of Hair Design-Chicago,Chicago,IL
Caddo Kiowa Technology Center,Fort Cobb,OK
Brightwood College-San Antonio-San Pedro,San Antonio,TX
Center for Instruction Technology & Innovation (CiTi),Mexico,NY
Le Cordon Bleu College of Culinary Arts-Austin,Austin,TX
The Art Institute of New York City,New York,NY
Paris II Educational Center,Gladstone,MO
International School of Skin Nailcare & Massage Therapy,Atlanta,GA
Palomar Institute of Cosmetology,San Marcos,CA
Southern Oklahoma Technology Center,Ardmore,OK
Vista College,El Paso,TX
Autry Technology Center,Enid,OK
Greene County Vocational School District,Xenia,OH
Canadian Valley Technology Center,El Reno,OK
Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA
Mayo Graduate School,Rochester,MN
Meridian Technology Center,Stillwater,OK
Waynesville Career Center,Waynesville,MO
Connecticut Institute of Hair Design,Wolcott,CT
Capitol School of Hairstyling and Esthetics,Omaha,NE
Morris County Vocational School District,Denville,NJ
Ross Medical Education Center-Roosevelt Park,Roosevelt Park,MI
Ross Medical Education Center-Kentwood,Kentwood,MI
South Florida Bible College and Theological Seminary,Deerfield Beach,FL
Cloyd's Barber School 2 Inc,Monroe,LA
Universal Technical Institute of Illinois Inc,Lisle,IL
Pennsylvania College of Technology,Williamsport,PA
Commonwealth Institute of Funeral Service,Houston,TX
Delta College of Arts & Technology,Baton Rouge,LA
InterCoast Colleges-Orange,Orange,CA
Stone Child College,Box Elder,MT
New York Academy of Art,New York,NY
Suffolk County Community College,Selden,NY
Las Positas College,Livermore,CA
Blades School of Hair Design,California,MD
Ogeechee Technical College,Statesboro,GA
Remington College-Mobile Campus,Mobile,AL
Everest College-Aurora,Aurora,CO
Southern Technical College,Fort Myers,FL
Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,IA
ITT Technical Institute-Norwood,Norwood,MA
Southwest Acupuncture College-Santa Fe,Santa Fe,NM
Northwest Technology Center-Alva,Alva,OK
Mercer County Career Center,Mercer,PA
ITT Technical Institute-Knoxville,Knoxville,TN
ITT Technical Institute-Austin,Austin,TX
ITT Technical Institute-Houston North,Houston,TX
California State University-San Marcos,San Marcos,CA
Argosy University-Hawaii,Honolulu,HI
Baptist Theological Seminary at Richmond,Henrico,VA
Brightwood College-Modesto,Salida,CA
Kaplan University-Des Moines Campus,Urbandale,IA
